               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04234,            0.036543,            0.014396,             0.88197,             0.75871,             0.84674,              0.3803,            0.039987,           0.0063362,           0.0031275,            0.006535,            0.006535,            0.006535
                  37,            0.041883,             0.03566,            0.013661,             0.66951,             0.25325,             0.40845,             0.15867,            0.058667,             0.01123,            0.010554,            0.006436,            0.006436,            0.006436
                  38,            0.041911,            0.036181,            0.013975,             0.94145,             0.79877,             0.83443,             0.38295,            0.040065,           0.0065874,          0.00098463,            0.006337,            0.006337,            0.006337
                  39,            0.041751,            0.035304,            0.014044,             0.90843,             0.77843,             0.84682,             0.32379,            0.045594,           0.0064253,           0.0020223,            0.006238,            0.006238,            0.006238
                  40,            0.041736,            0.036349,             0.01466,             0.83272,              0.8521,             0.86665,             0.39722,            0.040067,           0.0064824,          0.00087834,            0.006139,            0.006139,            0.006139
                  41,            0.041239,             0.03626,            0.013199,             0.81996,             0.60674,             0.66706,             0.29186,            0.073397,           0.0082813,            0.061952,             0.00604,             0.00604,             0.00604
                  42,            0.041596,            0.035875,            0.013985,             0.85998,             0.85384,             0.88028,             0.38112,            0.042665,            0.007103,          0.00095733,            0.005941,            0.005941,            0.005941
                  43,            0.041351,            0.036154,            0.013775,              0.8429,              0.8493,             0.86417,             0.38781,            0.040735,           0.0066094,           0.0025379,            0.005842,            0.005842,            0.005842
                  44,            0.041322,            0.035472,            0.013382,             0.83109,             0.85832,             0.85981,             0.39303,            0.040787,           0.0061511,          0.00068415,            0.005743,            0.005743,            0.005743
                  45,            0.040531,            0.035303,            0.013024,             0.95673,             0.82892,             0.86424,              0.3885,            0.042862,           0.0063142,          0.00063514,            0.005644,            0.005644,            0.005644
                  46,            0.041393,            0.037245,            0.013506,             0.96761,              0.8368,             0.89841,             0.40367,            0.040516,           0.0064216,           0.0017401,            0.005545,            0.005545,            0.005545
                  47,            0.040956,            0.035731,            0.013071,             0.93555,             0.81489,             0.84685,             0.36597,            0.040958,           0.0067186,           0.0018826,            0.005446,            0.005446,            0.005446
                  48,            0.040893,            0.035912,            0.013121,             0.93186,             0.80053,               0.835,             0.37777,            0.038095,           0.0067282,           0.0012193,            0.005347,            0.005347,            0.005347
                  49,            0.040489,            0.035497,            0.013465,             0.83033,             0.85294,             0.86594,             0.40533,            0.041745,           0.0063785,          0.00059348,            0.005248,            0.005248,            0.005248
                  50,            0.040648,            0.035492,            0.012829,             0.96681,             0.81546,             0.86511,             0.38275,            0.041701,            0.006286,           0.0015287,            0.005149,            0.005149,            0.005149
                  51,            0.040193,            0.035085,            0.013098,             0.94485,             0.81605,             0.86425,             0.38256,            0.039235,           0.0065856,            0.001578,             0.00505,             0.00505,             0.00505
                  52,            0.040367,            0.036301,            0.013357,             0.88031,             0.84978,             0.87873,             0.37904,            0.043409,           0.0065501,           0.0010135,            0.004951,            0.004951,            0.004951
                  53,            0.040233,            0.034934,            0.012656,             0.95544,             0.81121,             0.83814,             0.37993,            0.041898,            0.009352,           0.0013271,            0.004852,            0.004852,            0.004852
                  54,            0.040514,            0.035928,            0.013313,             0.93682,             0.83546,             0.86812,             0.37582,            0.040654,           0.0061751,          0.00052461,            0.004753,            0.004753,            0.004753
                  55,            0.039754,            0.035267,            0.012601,             0.84482,               0.859,             0.87275,             0.39068,            0.040782,           0.0065773,           0.0051744,            0.004654,            0.004654,            0.004654
                  56,             0.03945,             0.03537,            0.012284,             0.88986,             0.88488,             0.90545,             0.41859,            0.039364,           0.0060928,          0.00093058,            0.004555,            0.004555,            0.004555
                  57,            0.039329,            0.036018,            0.012172,             0.84094,             0.86816,             0.88228,             0.40012,            0.039073,           0.0063847,           0.0004489,            0.004456,            0.004456,            0.004456
                  58,            0.039202,            0.034848,            0.011545,             0.78131,             0.78262,             0.78465,             0.29611,            0.046764,           0.0065154,           0.0007328,            0.004357,            0.004357,            0.004357
                  59,            0.039159,            0.034954,            0.012683,             0.86259,              0.8556,             0.87031,             0.41076,            0.038426,           0.0066689,           0.0024603,            0.004258,            0.004258,            0.004258
                  60,            0.039689,            0.035301,            0.012036,             0.91114,             0.81121,             0.85692,             0.41332,            0.041314,           0.0061335,           0.0058651,            0.004159,            0.004159,            0.004159
                  61,            0.039395,            0.034978,            0.011973,             0.84427,              0.8931,             0.89969,              0.4279,            0.038573,           0.0061017,           0.0016336,             0.00406,             0.00406,             0.00406
                  62,            0.038969,            0.034588,            0.012541,             0.96739,             0.83401,             0.86764,              0.3953,            0.041343,           0.0062062,           0.0012432,            0.003961,            0.003961,            0.003961
                  63,            0.039314,            0.035234,            0.012394,             0.85472,             0.86477,             0.88014,             0.41186,            0.041113,           0.0065488,           0.0010911,            0.003862,            0.003862,            0.003862
                  64,            0.038367,            0.034906,            0.011947,             0.87364,             0.85487,              0.8851,             0.39175,            0.043339,           0.0061318,          0.00059679,            0.003763,            0.003763,            0.003763
                  65,            0.038585,            0.034355,            0.011676,             0.84416,             0.84995,             0.85823,             0.39573,            0.046689,           0.0062691,            0.019025,            0.003664,            0.003664,            0.003664
                  66,            0.038888,            0.034477,            0.012536,              0.9098,             0.88426,             0.90266,             0.39565,            0.038678,           0.0065998,          0.00043679,            0.003565,            0.003565,            0.003565
                  67,            0.038656,            0.035419,            0.011706,              0.8472,             0.84209,             0.87547,              0.4382,            0.037416,           0.0061316,          0.00056468,            0.003466,            0.003466,            0.003466
                  68,            0.038191,            0.034335,            0.011227,             0.90788,             0.88903,             0.91904,             0.42619,             0.04023,           0.0061025,           0.0025323,            0.003367,            0.003367,            0.003367
