               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082216,             0.02563,            0.055446,             0.15466,             0.48904,              0.2147,            0.077202,            0.055255,           0.0088186,             0.04681,            0.070536,           0.0032738,           0.0032738
                   1,            0.056521,            0.015985,            0.045699,             0.27131,             0.56152,             0.45578,             0.15198,              0.0581,           0.0058387,            0.036392,            0.039228,           0.0052989,           0.0052989
                   2,            0.053642,            0.012847,            0.034878,             0.51803,             0.65352,             0.52611,             0.19792,             0.05575,           0.0055385,              0.0211,           0.0065993,            0.006004,            0.006004
                   3,            0.048584,            0.011522,            0.021628,             0.77614,             0.84343,             0.87338,             0.33663,            0.046825,           0.0054898,            0.010806,             0.00406,             0.00406,             0.00406
                   4,             0.04668,            0.011098,            0.013018,             0.94131,             0.94207,             0.93896,             0.39236,            0.044238,           0.0055834,            0.004981,             0.00406,             0.00406,             0.00406
