               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031714,           0.0091099,           0.0033874,             0.98705,             0.97718,             0.98988,             0.48527,            0.035339,            0.005109,           0.0005051,             0.00307,             0.00307,             0.00307
                  37,            0.030898,           0.0088058,           0.0032531,             0.95723,             0.95529,             0.95024,             0.46032,            0.036125,           0.0050399,          0.00041388,            0.002872,            0.002872,            0.002872
                  38,            0.031539,           0.0090252,           0.0035282,             0.96218,             0.95555,              0.9603,             0.45052,            0.036529,           0.0050667,          0.00042558,            0.002674,            0.002674,            0.002674
                  39,            0.030688,           0.0089862,           0.0027696,              0.9865,             0.97833,             0.98683,             0.49553,            0.035736,           0.0050831,          0.00036942,            0.002476,            0.002476,            0.002476
                  40,            0.030831,            0.008952,           0.0028204,             0.96026,             0.97962,             0.97069,             0.46937,            0.037522,           0.0051333,          0.00038104,            0.002278,            0.002278,            0.002278
                  41,            0.030662,           0.0089471,           0.0034563,             0.98718,             0.97793,             0.98732,             0.48547,            0.037107,           0.0051142,          0.00036157,             0.00208,             0.00208,             0.00208
                  42,            0.030502,           0.0090633,           0.0033536,             0.97791,             0.97113,             0.98005,             0.46765,            0.036602,           0.0050807,          0.00033634,            0.001882,            0.001882,            0.001882
                  43,            0.030259,           0.0088359,           0.0034954,             0.98723,             0.97731,             0.98893,             0.49356,            0.034976,           0.0050813,          0.00034788,            0.001684,            0.001684,            0.001684
                  44,            0.030213,           0.0086981,           0.0030538,             0.96681,             0.97455,             0.96749,              0.4761,            0.035483,            0.005093,          0.00031539,            0.001486,            0.001486,            0.001486
                  45,            0.030713,           0.0091264,           0.0029262,             0.96088,             0.97195,             0.96844,             0.47605,            0.035866,           0.0051008,          0.00027972,            0.001288,            0.001288,            0.001288
                  46,            0.029532,           0.0086341,           0.0024289,             0.97243,             0.98479,             0.97754,              0.4827,            0.036486,           0.0050996,          0.00027776,             0.00109,             0.00109,             0.00109
                  47,             0.02931,           0.0086594,           0.0027048,             0.97042,             0.98159,             0.97727,             0.48589,            0.035764,           0.0050631,          0.00025353,            0.000892,            0.000892,            0.000892
                  48,            0.029067,           0.0087708,           0.0026656,             0.98467,             0.99286,             0.98754,              0.4951,            0.034486,           0.0050789,          0.00023867,            0.000694,            0.000694,            0.000694
                  49,            0.028683,           0.0085632,           0.0023714,             0.98301,             0.99286,             0.98742,             0.50112,            0.035343,           0.0050979,          0.00022967,            0.000496,            0.000496,            0.000496
