               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077966,            0.024548,             0.05423,             0.17975,             0.64797,             0.32671,             0.13459,            0.049985,           0.0092643,            0.044347,            0.070268,           0.0033036,           0.0033036
                   1,            0.055688,            0.015724,            0.041156,             0.43284,             0.76781,             0.59386,             0.26479,            0.049646,           0.0062168,            0.028078,            0.038078,           0.0044467,           0.0044467
                   2,            0.050068,            0.012934,            0.028582,               0.623,             0.85138,             0.78136,             0.34382,            0.048229,           0.0059239,            0.018253,           0.0036875,           0.0033899,           0.0033899
